citekey,year,title,category,NLI,QA,alignment,atomic_facts,attribution,benchmark,classifier,constraint,context,copy_mechanism,entity_preservation,graph_grounding,human_eval,knowledge_aware,lexical,lexical_constraint,logic_constraint,metric,none,ontology,relations,retrieval_grounding,retrieval_nli,sampling_consistency,semantic,semantic_similarity,survey
paetzold2017_lexical_simplification,2017,A Survey on Lexical Simplification,02_Adjacent_Multilingual_TS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
althanyyan2021_text_simplification,2021,Automated Text Simplification: A Survey,02_Adjacent_Multilingual_TS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
siddharthan2014_research_text_simplification,2014,A Survey of Research on Text Simplification,02_Adjacent_Multilingual_TS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
zhu2010_monolingual_tree_translation,2010,A Monolingual Tree-based Translation Model for Sentence Simplification,02_Adjacent_Multilingual_TS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
woodsend2011_learning_simplify_sentences,2011,Learning to Simplify Sentences with Quasi-Synchronous Grammar and Integer Programming,02_Adjacent_Multilingual_TS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
narayan2014_hybrid_simplification_deep,2014,Hybrid Simplification using Deep Semantics and Machine Translation,02_Adjacent_Multilingual_TS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
wubben2012_sentence_simplification_monolingual,2012,Sentence Simplification by Monolingual Machine Translation,02_Adjacent_Multilingual_TS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
coster2011_simple_english_wikipedia,2011,Simple English Wikipedia: A New Text Simplification Task,02_Adjacent_Multilingual_TS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
zhang2015_character_level_convolutional,2015,Character-level Convolutional Networks for Text Classification,02_Adjacent_Multilingual_TS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
zhao2018_integrating_transformer_paraphrase,2018,Integrating Transformer and Paraphrase Rules for Sentence Simplification,02_Adjacent_Multilingual_TS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
kriz2019_simplification_paraphrases_context,2019,Simplification Using Paraphrases and Context-based Lexical Substitution,02_Adjacent_Multilingual_TS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
lin2004_rouge_package_evaluation,2004,ROUGE: A Package for Automatic Evaluation of Summaries,07_Evaluation_Methods,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
papineni2002_bleu_evaluation_machine,2002,BLEU: A Method for Automatic Evaluation of Machine Translation,07_Evaluation_Methods,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
banerjee2005_meteor_metric_mt,2005,METEOR: An Automatic Metric for MT Evaluation with Improved Correlation with Human Judgments,07_Evaluation_Methods,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
zhang2020_bertscore_evaluating_text,2020,BERTScore: Evaluating Text Generation with BERT,07_Evaluation_Methods,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
sellam2020_bleurt_learning_robust,2020,BLEURT: Learning Robust Metrics for Text Generation,07_Evaluation_Methods,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
rei2020_comet_neural_framework,2020,COMET: A Neural Framework for MT Evaluation,07_Evaluation_Methods,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
landis1977_measurement_observer_agreement,1977,The Measurement of Observer Agreement for Categorical Data,07_Evaluation_Methods,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
fleiss1971_measuring_nominal_agreement,1971,Measuring Nominal Scale Agreement among Many Raters,07_Evaluation_Methods,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
cohen1960_coefficient_agreement_nominal,1960,A Coefficient of Agreement for Nominal Scales,07_Evaluation_Methods,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
krippendorff2011_computing_krippendorff_s,2011,Computing Krippendorff's Alpha-Reliability,07_Evaluation_Methods,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
belz2006_comparing_human_evaluation,2006,Comparing Automatic and Human Evaluation of NLG Systems,07_Evaluation_Methods,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
vanderlee2019_best_practices_human,2019,Best Practices for the Human Evaluation of Automatically Generated Text,07_Evaluation_Methods,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
howcroft2020_twenty_years_confusion,2020,Twenty Years of Confusion in Human Evaluation: NLG Needs Evaluation Sheets and Standardised Definitions,07_Evaluation_Methods,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
flesch1948_readability_yardstick,1948,A New Readability Yardstick,07_Evaluation_Methods,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
kincaid1975_derivation_readability_formulas,1975,Derivation of New Readability Formulas for Navy Enlisted Personnel,07_Evaluation_Methods,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
mclaughlin1969_smog_grading_readability,1969,SMOG Grading: A New Readability Formula,07_Evaluation_Methods,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
dale1948_formula_predicting_readability,1948,A Formula for Predicting Readability,07_Evaluation_Methods,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
badarudeen2010_assessing_readability_patient,2010,Assessing Readability of Patient Education Materials: Current Role in Orthopaedics,07_Evaluation_Methods,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
weiss2003_health_literacy_manual,2003,Health Literacy: A Manual for Clinicians,07_Evaluation_Methods,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
berkman2011_low_health_literacy,2011,Low Health Literacy and Health Outcomes: An Updated Systematic Review,07_Evaluation_Methods,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
page2021_prisma_2020_statement,2021,The PRISMA 2020 Statement: An Updated Guideline for Reporting Systematic Reviews,08_Systematic_Review_Methods,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
rethlefsen2021_prisma_s_extension,2021,PRISMA-S: An Extension to the PRISMA Statement for Reporting Literature Searches in Systematic Reviews,08_Systematic_Review_Methods,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
campbell2020_synthesis_without_meta,2020,Synthesis without Meta-analysis (SWiM) in Systematic Reviews: Reporting Guideline,08_Systematic_Review_Methods,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
guyatt2008_grade_emerging_consensus,2008,GRADE: An Emerging Consensus on Rating Quality of Evidence and Strength of Recommendations,08_Systematic_Review_Methods,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
sterne2019_rob_2_revised,2019,RoB 2: A Revised Tool for Assessing Risk of Bias in Randomised Trials,08_Systematic_Review_Methods,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
sterne2016_robins_i_tool,2016,ROBINS-I: A Tool for Assessing Risk of Bias in Non-randomised Studies of Interventions,08_Systematic_Review_Methods,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
shea2017_amstar_2_critical,2017,"AMSTAR 2: A Critical Appraisal Tool for Systematic Reviews That Include Randomised or Non-randomised Studies of Healthcare Interventions, or Both",08_Systematic_Review_Methods,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
cooke2012_beyond_pico_spider,2012,Beyond PICO: The SPIDER Tool for Qualitative Evidence Synthesis,08_Systematic_Review_Methods,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
thomas2008_thematic_synthesis_qualitative,2008,Methods for the Thematic Synthesis of Qualitative Research in Systematic Reviews,08_Systematic_Review_Methods,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
haddaway2022_prisma2020_r_package,2022,PRISMA2020: An R Package and Shiny App for Producing PRISMA 2020-compliant Flow Diagrams,08_Systematic_Review_Methods,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ouzzani2016_rayyan_web_mobile,2016,Rayyan: A Web and Mobile App for Systematic Reviews,08_Systematic_Review_Methods,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
aria2017_bibliometrix_r_tool,2017,Bibliometrix: An R-tool for Comprehensive Science Mapping Analysis,08_Systematic_Review_Methods,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
vaneck2010_software_vosviewer_computer,2010,"Software Survey: VOSviewer, a Computer Program for Bibliometric Mapping",08_Systematic_Review_Methods,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
moher2009_preferred_reporting_items,2009,Preferred Reporting Items for Systematic Reviews and Meta-Analyses: The PRISMA Statement,08_Systematic_Review_Methods,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
higgins2023_cochrane_handbook_systematic,2023,Cochrane Handbook for Systematic Reviews of Interventions,08_Systematic_Review_Methods,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
aromataris2020_jbi_manual_evidence,2020,JBI Manual for Evidence Synthesis,08_Systematic_Review_Methods,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
hong2018_mixed_appraisal_tool,2018,"Mixed Methods Appraisal Tool (MMAT), Version 2018",08_Systematic_Review_Methods,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
devlin2019_bert_pre_training,2019,BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding,10_LLM_Backbones_LowResource,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
raffel2020_exploring_limits_transfer,2020,Exploring the Limits of Transfer Learning with a Unified Text-to-Text Transformer,10_LLM_Backbones_LowResource,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
lewis2020_bart_denoising_sequence,2020,"BART: Denoising Sequence-to-Sequence Pre-training for Natural Language Generation, Translation, and Comprehension",10_LLM_Backbones_LowResource,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
xue2021_mt5_massively_multilingual,2021,mT5: A Massively Multilingual Pre-trained Text-to-Text Transformer,10_LLM_Backbones_LowResource,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
liu2020_multilingual_denoising_pre,2020,Multilingual Denoising Pre-training for Neural Machine Translation,10_LLM_Backbones_LowResource,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
conneau2020_unsupervised_cross_lingual,2020,Unsupervised Cross-lingual Representation Learning at Scale,10_LLM_Backbones_LowResource,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
pfeiffer2020_mad_x_adapter,2020,MAD-X: An Adapter-Based Framework for Multi-Task Cross-Lingual Transfer,10_LLM_Backbones_LowResource,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
houlsby2019_parameter_efficient_transfer,2019,Parameter-Efficient Transfer Learning for NLP,10_LLM_Backbones_LowResource,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
hu2022_lora_low_rank,2022,LoRA: Low-Rank Adaptation of Large Language Models,10_LLM_Backbones_LowResource,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
joshi2020_state_fate_linguistic,2020,The State and Fate of Linguistic Diversity and Inclusion in the NLP World,10_LLM_Backbones_LowResource,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ruder2019_cross_lingual_word,2019,A Survey of Cross-lingual Word Embedding Models,10_LLM_Backbones_LowResource,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
lauscher2020_zero_hero_limitations,2020,From Zero to Hero: On the Limitations of Zero-Shot Cross-Lingual Transfer with Multilingual Transformers,10_LLM_Backbones_LowResource,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
touvron2023_llama_2_open,2023,Llama 2: Open Foundation and Fine-Tuned Chat Models,10_LLM_Backbones_LowResource,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
dubey2024_llama_3_herd,2024,The Llama 3 Herd of Models,10_LLM_Backbones_LowResource,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
yang2024_qwen2_5_technical,2024,Qwen2.5 Technical Report,10_LLM_Backbones_LowResource,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
team2024_gemma_open_gemini,2024,Gemma: Open Models Based on Gemini Research and Technology,10_LLM_Backbones_LowResource,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
team2024_gemma_2_improving,2024,Gemma 2: Improving Open Language Models at a Practical Size,10_LLM_Backbones_LowResource,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
jiang2023_mistral_7b,2023,Mistral 7B,10_LLM_Backbones_LowResource,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
dettmers2023_qlora_efficient_finetuning,2023,QLoRA: Efficient Finetuning of Quantized LLMs,10_LLM_Backbones_LowResource,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
dettmers2022_llm_int8_8,2022,LLM.int8(): 8-bit Matrix Multiplication for Transformers at Scale,10_LLM_Backbones_LowResource,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
johnson2016_mimic_iii_freely,2016,"MIMIC-III, A Freely Accessible Critical Care Database",11_Clinical_NLP_Datasets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
johnson2023_mimic_iv_freely,2023,"MIMIC-IV, A Freely Accessible Electronic Health Record Dataset",11_Clinical_NLP_Datasets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
irvin2019_chexpert_chest_radiograph,2019,CheXpert: A Large Chest Radiograph Dataset with Uncertainty Labels and Expert Comparison,11_Clinical_NLP_Datasets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
bustos2020_padchest_chest_x,2020,PadChest: A Large Chest X-Ray Image Dataset with Multi-label Annotated Reports,11_Clinical_NLP_Datasets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
demnerfushman2016_preparing_collection_radiology,2016,Preparing a Collection of Radiology Examinations for Distribution and Retrieval,11_Clinical_NLP_Datasets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
uzuner2011_2010_i2b2_va,2011,"2010 i2b2/VA Challenge on Concepts, Assertions, and Relations in Clinical Text",11_Clinical_NLP_Datasets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
uzuner2007_evaluating_state_art,2007,Evaluating the State-of-the-Art in Automatic De-identification,11_Clinical_NLP_Datasets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
henry2020_2018_n2c2_shared,2020,2018 n2c2 Shared Task on Adverse Drug Events and Medication Extraction in Electronic Health Records,11_Clinical_NLP_Datasets,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
soysal2018_clamp_toolkit_efficiently,2018,CLAMP: A Toolkit for Efficiently Building Customized Clinical Natural Language Processing Pipelines,11_Clinical_NLP_Datasets,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
savova2010_mayo_clinical_text,2010,"Mayo Clinical Text Analysis and Knowledge Extraction System (cTAKES): Architecture, Component Evaluation and Applications",11_Clinical_NLP_Datasets,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aronson2010_overview_metamap_historical,2010,An Overview of MetaMap: Historical Perspective and Recent Advances,11_Clinical_NLP_Datasets,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
luo2022_natural_language_processing,2022,Natural Language Processing for EHR-Based Computational Phenotyping,11_Clinical_NLP_Datasets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
wang2018_clinical_information_extraction,2018,Clinical Information Extraction Applications: A Literature Review,11_Clinical_NLP_Datasets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
jensen2012_mining_electronic_health,2012,Mining Electronic Health Records: Towards Better Research Applications and Clinical Care,11_Clinical_NLP_Datasets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
shickel2018_deep_ehr_recent,2018,Deep EHR: A Survey of Recent Advances in Deep Learning Techniques for Electronic Health Record Analysis,11_Clinical_NLP_Datasets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
wallace2016_extracting_pico_sentences,2016,Extracting PICO Sentences from Clinical Trial Reports Using Supervised Distant Supervision,12_Clinical_Summarization_Health_Literacy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
marshall2015_automating_risk_bias,2015,Automating Risk of Bias Assessment for Clinical Trials,12_Clinical_Summarization_Health_Literacy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
lehman2019_inferring_which_medical,2019,Inferring Which Medical Treatments Work from Reports of Clinical Trials,12_Clinical_Summarization_Health_Literacy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
wallace2012_deploying_interactive_machine,2012,Deploying an Interactive Machine Learning System in an Evidence-based Practice Center,12_Clinical_Summarization_Health_Literacy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
mishra2014_text_summarization_biomedical,2014,Text Summarization in the Biomedical Domain: A Systematic Review of Recent Research,12_Clinical_Summarization_Health_Literacy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
afantenos2005_summarization_medical_documents,2005,Summarization from Medical Documents: A Survey,12_Clinical_Summarization_Health_Literacy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
demnerfushman2007_answering_clinical_questions,2007,Answering Clinical Questions with Knowledge-Based and Statistical Techniques,12_Clinical_Summarization_Health_Literacy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
nallapati2016_abstractive_text_summarization,2016,Abstractive Text Summarization Using Sequence-to-Sequence RNNs and Beyond,12_Clinical_Summarization_Health_Literacy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
see2017_get_point_summarization,2017,Get To The Point: Summarization with Pointer-Generator Networks,12_Clinical_Summarization_Health_Literacy,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
narayan2018_don_t_give,2018,"Don't Give Me the Details, Just the Summary! Topic-Aware Convolutional Neural Networks for Extreme Summarization",12_Clinical_Summarization_Health_Literacy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
grusky2018_newsroom_1_3,2018,Newsroom: A Dataset of 1.3 Million Summaries with Diverse Extractive Strategies,12_Clinical_Summarization_Health_Literacy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
zhang2020_pegasus_pre_training,2020,PEGASUS: Pre-training with Extracted Gap-sentences for Abstractive Summarization,12_Clinical_Summarization_Health_Literacy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
gidiotis2020_divide_conquer_summarization,2020,A Divide-and-Conquer Approach to the Summarization of Long Documents,12_Clinical_Summarization_Health_Literacy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
cohan2018_discourse_aware_attention,2018,A Discourse-Aware Attention Model for Abstractive Summarization of Long Documents,12_Clinical_Summarization_Health_Literacy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
sotudeh2019_generating_extended_summaries,2019,On Generating Extended Summaries of Long Documents,12_Clinical_Summarization_Health_Literacy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
